era,release_date,set_name,set_code,card_number,edition,variant,language,japanese_name,english_name,category,artwork_reason,artwork_evidence_urls,stamps_reason,stamps_evidence_urls,canonical_image_url,card_uid
base,1996-10-15,Unnumbered Promotional cards (Old Series),OLD-UPC,旧裏,unknown,UNKNOWN,jp,No.1 トレーナー,No. 1 Trainer,artwork,This exact Secret Super Battle final trophy has award-specific Japanese artwork never issued internationally.,https://pokumon.com/card/no-1-trainer-world-challenge-secret-super-battle-best-in-japan-2000-unnumbered/ | https://bulbapedia.bulbagarden.net/wiki/Unnumbered_Promotional_cards_%28TCG%29,,,https://pub-edb881114340454d8aae56176adec4f2.r2.dev/pokemon/artofpkm/78aedb92-f09e-4726-a653-6029f760ceeb.jpg,78aedb92-f09e-4726-a653-6029f760ceeb
base,1996-10-15,Unnumbered Promotional cards (Old Series),OLD-UPC,旧裏,unknown,UNKNOWN,jp,No.2 トレーナー,No. 2 Trainer,artwork,This exact Secret Super Battle final trophy has award-specific Japanese artwork never issued internationally.,https://pokumon.com/card/no-2-trainer-world-challenge-secret-super-battle-best-in-japan-2000-unnumbered/ | https://bulbapedia.bulbagarden.net/wiki/Unnumbered_Promotional_cards_%28TCG%29,,,https://pub-edb881114340454d8aae56176adec4f2.r2.dev/pokemon/artofpkm/dc46a0e1-1796-4c77-8058-ed3c14777fdc.jpg,dc46a0e1-1796-4c77-8058-ed3c14777fdc
base,1996-10-15,Unnumbered Promotional cards (Old Series),OLD-UPC,旧裏,unknown,UNKNOWN,jp,No.3 トレーナー,No. 3 Trainer,artwork,This exact Secret Super Battle final trophy has award-specific Japanese artwork never issued internationally.,https://pokumon.com/card/no-3-trainer-world-challenge-secret-super-battle-best-in-japan-2000-unnumbered/ | https://bulbapedia.bulbagarden.net/wiki/Unnumbered_Promotional_cards_%28TCG%29,,,https://pub-edb881114340454d8aae56176adec4f2.r2.dev/pokemon/artofpkm/c9d3e2d6-6931-4edc-98e6-bbe2faa0c7e6.jpg,c9d3e2d6-6931-4edc-98e6-bbe2faa0c7e6
base,1996-10-15,Unnumbered Promotional cards (Old Series),OLD-UPC,旧裏,unknown,UNKNOWN,jp,No.1 Trainer,No.1 Trainer,artwork,This exact 1997 Japanese tournament trophy has award-specific artwork never issued internationally.,https://pokumon.com/card/no-1-trainer-pokemon-card-game-official-tournament-1997-unnumbered/ | https://bulbapedia.bulbagarden.net/wiki/Unnumbered_Promotional_cards_%28TCG%29,,,https://pub-edb881114340454d8aae56176adec4f2.r2.dev/pokemon/artofpkm/a93349cd-cc5a-4357-a992-c2675338a8b2.jpg,a93349cd-cc5a-4357-a992-c2675338a8b2
base,1996-10-15,Unnumbered Promotional cards (Old Series),OLD-UPC,旧裏,unknown,UNKNOWN,jp,No.2 Trainer,No.2 Trainer,artwork,This exact 1997 Japanese tournament trophy has award-specific artwork never issued internationally.,https://pokumon.com/card/no-2-trainer-pokemon-card-game-official-tournament-1997-unnumbered/ | https://bulbapedia.bulbagarden.net/wiki/Unnumbered_Promotional_cards_%28TCG%29,,,https://pub-edb881114340454d8aae56176adec4f2.r2.dev/pokemon/artofpkm/1a90f801-2c25-47bd-ab7b-1b5ad4eb851e.jpg,1a90f801-2c25-47bd-ab7b-1b5ad4eb851e
base,1996-10-15,Unnumbered Promotional cards (Old Series),OLD-UPC,旧裏,unknown,UNKNOWN,jp,No.3 Trainer,No.3 Trainer,artwork,This exact 1997 Japanese tournament trophy has award-specific artwork never issued internationally.,https://pokumon.com/card/no-3-trainer-pokemon-card-game-official-tournament-1997-unnumbered/ | https://bulbapedia.bulbagarden.net/wiki/Unnumbered_Promotional_cards_%28TCG%29,,,https://pub-edb881114340454d8aae56176adec4f2.r2.dev/pokemon/artofpkm/a3f30045-3b95-4954-9183-f9379468ef56.jpg,a3f30045-3b95-4954-9183-f9379468ef56
base,1996-10-15,Unnumbered Promotional cards (Old Series),OLD-UPC,旧裏,unknown,UNKNOWN,jp,ポケモンイラストレーター,Pokémon Illustrator,artwork,This unnumbered Pokémon Illustrator has a unique Japanese contest-prize design never issued internationally.,https://bulbapedia.bulbagarden.net/wiki/Pok%C3%A9mon_Illustrator_%28CoroCoro_promo%29 | https://www.psacard.com/cardfacts/non-sports-cards/1998-nintendo-pokemon-japanese-promo/pikachu-holo-illustrator/640820,,,https://pub-edb881114340454d8aae56176adec4f2.r2.dev/pokemon/artofpkm/e38aa5b1-9693-4c36-a112-90664128a767.jpg,e38aa5b1-9693-4c36-a112-90664128a767
base,1996-10-15,Unnumbered Promotional cards (Old Series),OLD-UPC,旧裏,unknown,UNKNOWN,jp,ニョロモ,Poliwag,artwork,These nine exact 1999 Pokémon Snap contest prizes use winning player photographs with no official English-language physical release.,https://snkrdunk.com/apparels/93357 | https://bulbapedia.bulbagarden.net/wiki/Pok%C3%A9mon_Snap_Best_Photo_Contest,,,https://pub-edb881114340454d8aae56176adec4f2.r2.dev/pokemon/617253.jpg,628bf755-a8cf-4144-a271-27b12be7d172
base,1996-10-15,Unnumbered Promotional cards (Old Series),OLD-UPC,旧裏,unknown,UNKNOWN,jp,ひかるミュウ,Shining Mew,artwork,This unnumbered Shining Mew uses the Japanese CoroCoro composition never issued as a non-Japanese card.,https://bulbapedia.bulbagarden.net/wiki/Shining_Mew | https://pokumon.com/card/shining-mew-corocoro-2001-unnumbered/,,,https://pub-edb881114340454d8aae56176adec4f2.r2.dev/pokemon/617261.jpg,86701266-8373-4fda-ab77-dcbb437ce502
base,1996-10-15,Unnumbered Promotional cards (Old Series),OLD-UPC,旧裏,unknown,UNKNOWN,jp,ゼニガメ,Squirtle,artwork,These nine exact 1999 Pokémon Snap contest prizes use winning player photographs with no official English-language physical release.,https://snkrdunk.com/apparels/470958 | https://bulbapedia.bulbagarden.net/wiki/Pok%C3%A9mon_Snap_Best_Photo_Contest,,,https://pub-edb881114340454d8aae56176adec4f2.r2.dev/pokemon/artofpkm/102ff13b-c161-4985-a40a-4bb200a28709.jpg,102ff13b-c161-4985-a40a-4bb200a28709
base,1996-10-15,Unnumbered Promotional cards (Old Series),OLD-UPC,旧裏,unknown,UNKNOWN,jp,トゲピー,Togepi,artwork,This unnumbered ANA Togepi uses Ryuta Kusumi artwork and campaign text never issued on a non-Japanese printing.,https://bulbapedia.bulbagarden.net/wiki/Togepi_%28ANA_promo%29 | https://pokumon.com/card/togepi-get-in-a-jet-2000-campaign-2000-unnumbered/,,,https://pub-edb881114340454d8aae56176adec4f2.r2.dev/pokemon/617258.jpg,32e01fda-b152-4f5f-87e2-e5285f0ce4a1
base,1996-10-15,Unnumbered Promotional cards (Old Series),OLD-UPC,旧裏,unknown,UNKNOWN,jp,トロピカルウインド,Tropical Wind,artwork,This exact 1999 Tropical Wind uses the Psyduck and Jigglypuff artwork with no official English-language physical release.,https://bulbapedia.bulbagarden.net/wiki/Tropical_Wind_%28Nintendo_Promo_26%29 | https://snkrdunk.com/apparels/467865,,,https://pub-edb881114340454d8aae56176adec4f2.r2.dev/pokemon/artofpkm/e756a359-47a0-4f52-9e86-3b236e8f590d.jpg,e756a359-47a0-4f52-9e86-3b236e8f590d
base,1996-10-15,Unnumbered Promotional cards (Old Series),OLD-UPC,旧裏,unknown,通信進化キャンペーン,jp,フーディン,Alakazam,artwork,These four exact Communication Evolution artworks have no non-Japanese physical printing in their per-card release histories.,https://bulbapedia.bulbagarden.net/wiki/Alakazam_(Communication_Evolution_Campaign_promo) | https://pokumon.com/?s=communication+evolution,,,https://pub-edb881114340454d8aae56176adec4f2.r2.dev/pokemon/d03b3ba8-e57a-4437-91ca-12066579ecae/snkrdunk.webp,d03b3ba8-e57a-4437-91ca-12066579ecae
base,1996-10-15,Unnumbered Promotional cards (Old Series),OLD-UPC,旧裏,unknown,通信進化キャンペーン,jp,ゲンガー,Gengar,artwork,These four exact Communication Evolution artworks have no non-Japanese physical printing in their per-card release histories.,https://bulbapedia.bulbagarden.net/wiki/Gengar_(Communication_Evolution_Campaign_promo) | https://pokumon.com/?s=communication+evolution,,,https://pub-edb881114340454d8aae56176adec4f2.r2.dev/pokemon/d0e9acaf-f0c5-4c61-944d-ec3f38699193/snkrdunk.webp,d0e9acaf-f0c5-4c61-944d-ec3f38699193
base,1996-10-15,Unnumbered Promotional cards (Old Series),OLD-UPC,旧裏,unknown,通信進化キャンペーン,jp,ゴローニャ,Golem,artwork,These four exact Communication Evolution artworks have no non-Japanese physical printing in their per-card release histories.,https://bulbapedia.bulbagarden.net/wiki/Golem_(Communication_Evolution_Campaign_promo) | https://pokumon.com/?s=communication+evolution,,,https://pub-edb881114340454d8aae56176adec4f2.r2.dev/pokemon/45fbfcaf-6fd0-495f-944b-ec9f1b52f4bc/snkrdunk.webp,45fbfcaf-6fd0-495f-944b-ec9f1b52f4bc
base,1996-10-15,Unnumbered Promotional cards (Old Series),OLD-UPC,旧裏,unknown,通信進化キャンペーン,jp,オムスター,Omastar,artwork,These four exact Communication Evolution artworks have no non-Japanese physical printing in their per-card release histories.,https://bulbapedia.bulbagarden.net/wiki/Omastar_(Communication_Evolution_Campaign_promo) | https://pokumon.com/?s=communication+evolution,,,https://pub-edb881114340454d8aae56176adec4f2.r2.dev/pokemon/d8854b4c-dc56-402f-a22d-b5a29ea517c5/snkrdunk.webp,d8854b4c-dc56-402f-a22d-b5a29ea517c5
base,1996-10-20,Expansion Pack,OLD-EP,旧裏,unknown,UNKNOWN,jp,ルージュラ,Jynx,artwork,These exact Japanese Base-art printings retain the original black coloring that was recolored for international Base releases.,https://bulbapedia.bulbagarden.net/wiki/Jynx_%28Base_Set_31%29 | https://www.psacard.com/psasetregistry/tcg/key-card-sets/pokemon-japanese-censored-artwork-cards-1996-present/imagegallery/551897,,,https://pub-edb881114340454d8aae56176adec4f2.r2.dev/pokemon/575643.jpg,6c2b8072-4ad8-4894-bbd5-073063d36998
base,1996-10-20,Expansion Pack (No Rarity),OLD-EPNR,旧裏,unknown,UNKNOWN,jp,ルージュラ,Jynx,artwork,These exact Japanese Base-art printings retain the original black coloring that was recolored for international Base releases.,https://bulbapedia.bulbagarden.net/wiki/Jynx_%28Base_Set_31%29 | https://www.psacard.com/psasetregistry/tcg/key-card-sets/pokemon-japanese-censored-artwork-cards-1996-present/imagegallery/551897,,,https://pub-edb881114340454d8aae56176adec4f2.r2.dev/pokemon/577070.jpg,545ae27d-8e85-463a-b120-373245c56622
base,1997-11-21,Rocket Gang (Base4),OLD-RG,旧裏,unknown,UNKNOWN,jp,ベトベター,Grimer,artwork,The Japanese Team Rocket printing uses the original gaze; Grimer's pupils were changed internationally.,https://bulbapedia.bulbagarden.net/wiki/Grimer_%28Team_Rocket_57%29 | https://www.psacard.com/psasetregistry/tcg/key-card-sets/pokemon-japanese-censored-artwork-cards-1996-present/imagegallery/738524,,,https://pub-edb881114340454d8aae56176adec4f2.r2.dev/pokemon/575724.jpg,7907df2a-63d5-418b-a64e-83d2116d5892
base,1998-04-26,City Gym Decks,OLD-CGD,旧裏,unknown,UNKNOWN,jp,カスミのなみだ,Misty's Tears,artwork,"This Japanese Gym Deck printing uses Misty's original artwork, which was redrawn for international release.",https://bulbapedia.bulbagarden.net/wiki/Misty%27s_Tears_%28TCG%29 | https://www.psacard.com/psasetregistry/tcg/key-card-sets/pokemon-japanese-censored-artwork-cards-1996-present/imagegallery/738524,,,https://pub-edb881114340454d8aae56176adec4f2.r2.dev/pokemon/614817.jpg,50c2e0ed-c2db-4be8-bd0e-47933cb3df75
base,1998-04-26,City Gym Decks,OLD-CGD,旧裏,unknown,UNKNOWN,jp,ナツメの眼,Sabrina's Gaze,artwork,"This Japanese Gym Deck printing uses Sabrina's original gesture, which was redrawn internationally.",https://bulbapedia.bulbagarden.net/wiki/Sabrina%27s_Gaze_%28Gym_Heroes_125%29 | https://www.psacard.com/psasetregistry/tcg/key-card-sets/pokemon-japanese-censored-artwork-cards-1996-present/imagegallery/738524,,,https://pub-edb881114340454d8aae56176adec4f2.r2.dev/pokemon/614838.jpg,9520f7c2-bf4f-46cc-8f97-66c665f6a655
base,1998-04-26,City Gym Decks,OLD-CGD,旧裏,unknown,UNKNOWN,jp,ナツメのゲンガー,Sabrina's Gengar,artwork,This Japanese Gym Deck printing retains the cemetery background that was altered for international release.,https://bulbapedia.bulbagarden.net/wiki/Sabrina%27s_Gengar_%28Gym_Challenge_29%29 | https://www.psacard.com/psasetregistry/tcg/key-card-sets/pokemon-japanese-censored-artwork-cards-1996-present/imagegallery/738524,,,https://pub-edb881114340454d8aae56176adec4f2.r2.dev/pokemon/614839.jpg,a359cd00-0897-41de-8c6e-4ef75a782261
base,1998-04-26,City Gym Decks,OLD-CGD,旧裏,unknown,UNKNOWN,jp,ナツメのルージュラ,Sabrina's Jynx,artwork,This Japanese Gym Deck Sabrina's Jynx uses the original skin tone that was recolored internationally.,https://bulbapedia.bulbagarden.net/wiki/Sabrina%27s_Jynx_%28Gym_Challenge_57%29 | https://www.psacard.com/psasetregistry/tcg/key-card-sets/pokemon-japanese-censored-artwork-cards-1996-present/imagegallery/551897,,,https://pub-edb881114340454d8aae56176adec4f2.r2.dev/pokemon/614842.jpg,0b3df06e-5b50-4109-94a4-db101d2e441c
base,1998-10-24,Leaders' Stadium (Base5),OLD-LS,旧裏,unknown,UNKNOWN,jp,カスミのなみだ,Misty's Tears,artwork,"This Japanese Leaders' Stadium printing uses Misty's original artwork, which was redrawn internationally.",https://bulbapedia.bulbagarden.net/wiki/Misty%27s_Tears_%28TCG%29 | https://www.psacard.com/psasetregistry/tcg/key-card-sets/pokemon-japanese-censored-artwork-cards-1996-present/imagegallery/738524,,,https://pub-edb881114340454d8aae56176adec4f2.r2.dev/pokemon/576829.jpg,b371ec68-f481-417e-bc0f-9afc11b1bad9
base,1998-12-04,Quick Starter Gift Set (Green Deck),OLD-QSGG,旧裏,unknown,UNKNOWN,jp,ルージュラ,Jynx,artwork,These exact Japanese Base-art printings retain the original black coloring that was recolored for international Base releases.,https://bulbapedia.bulbagarden.net/wiki/Jynx_%28Base_Set_31%29 | https://www.psacard.com/psasetregistry/tcg/key-card-sets/pokemon-japanese-censored-artwork-cards-1996-present/imagegallery/551897,,,,e8127641-db16-4052-8674-10c686e0f5cd
base,1999-05-22,How I Became a Pokemon Card,OLD-HIBPC,旧裏,unknown,UNKNOWN,jp,ルージュラ,Jynx,both,These four exact manga inserts use original artwork made for the Japan-only Natta Wake volumes.,https://www.elitefourum.com/t/how-i-became-a-pokemon-card-natta-wake-a-guide-to-the-manga-and-cards/42359 | https://bulbapedia.bulbagarden.net/wiki/List_of_How_I_Became_a_Pok%C3%A9mon_Card_volumes,These exact manga inserts carry the Japan-only Natta Wake printed book mark.,https://www.elitefourum.com/t/how-i-became-a-pokemon-card-natta-wake-a-guide-to-the-manga-and-cards/42359 | https://bulbapedia.bulbagarden.net/wiki/List_of_How_I_Became_a_Pok%C3%A9mon_Card_volumes,https://pub-edb881114340454d8aae56176adec4f2.r2.dev/pokemon/artofpkm/5e6819f5-96d4-44a5-94c4-4bff06893676.jpg,5e6819f5-96d4-44a5-94c4-4bff06893676
base,1999-05-22,How I Became a Pokemon Card,OLD-HIBPC,旧裏,unknown,UNKNOWN,jp,マンキー,Mankey,both,These four exact manga inserts use original artwork made for the Japan-only Natta Wake volumes.,https://www.elitefourum.com/t/how-i-became-a-pokemon-card-natta-wake-a-guide-to-the-manga-and-cards/42359 | https://bulbapedia.bulbagarden.net/wiki/List_of_How_I_Became_a_Pok%C3%A9mon_Card_volumes,These exact manga inserts carry the Japan-only Natta Wake printed book mark.,https://www.elitefourum.com/t/how-i-became-a-pokemon-card-natta-wake-a-guide-to-the-manga-and-cards/42359 | https://bulbapedia.bulbagarden.net/wiki/List_of_How_I_Became_a_Pok%C3%A9mon_Card_volumes,https://pub-edb881114340454d8aae56176adec4f2.r2.dev/pokemon/artofpkm/2e06910c-6785-468f-9e34-4b624fd22ef5.jpg,2e06910c-6785-468f-9e34-4b624fd22ef5
base,1999-05-22,How I Became a Pokemon Card,OLD-HIBPC,旧裏,unknown,UNKNOWN,jp,コダック,Psyduck,stamps,,,The Japanese manga insert carries the Natta Wake book mark; its artwork was reused as WotC Promo 20.,https://www.elitefourum.com/t/how-i-became-a-pokemon-card-natta-wake-a-guide-to-the-manga-and-cards/42359 | https://bulbapedia.bulbagarden.net/wiki/Psyduck_%28Wizards_Promo_20%29,https://pub-edb881114340454d8aae56176adec4f2.r2.dev/pokemon/artofpkm/155ad8c8-bac8-4aea-a612-0e70be8c7df3.jpg,155ad8c8-bac8-4aea-a612-0e70be8c7df3
base,1999-05-22,How I Became a Pokemon Card,OLD-HIBPC,旧裏,unknown,UNKNOWN,jp,ヒマナッツ,Sunkern,both,These four exact manga inserts use original artwork made for the Japan-only Natta Wake volumes.,https://www.elitefourum.com/t/how-i-became-a-pokemon-card-natta-wake-a-guide-to-the-manga-and-cards/42359 | https://bulbapedia.bulbagarden.net/wiki/List_of_How_I_Became_a_Pok%C3%A9mon_Card_volumes,These exact manga inserts carry the Japan-only Natta Wake printed book mark.,https://www.elitefourum.com/t/how-i-became-a-pokemon-card-natta-wake-a-guide-to-the-manga-and-cards/42359 | https://bulbapedia.bulbagarden.net/wiki/List_of_How_I_Became_a_Pok%C3%A9mon_Card_volumes,https://pub-edb881114340454d8aae56176adec4f2.r2.dev/pokemon/artofpkm/f3e1f7b3-12fc-4e3c-8b0b-66a276ee06c0.jpg,f3e1f7b3-12fc-4e3c-8b0b-66a276ee06c0
base,1999-05-22,How I Became a Pokemon Card,OLD-HIBPC,旧裏,unknown,ポケモンカードになったわけ5,jp,ハネッコ,Hoppip,both,These four exact manga inserts use original artwork made for the Japan-only Natta Wake volumes.,https://www.elitefourum.com/t/how-i-became-a-pokemon-card-natta-wake-a-guide-to-the-manga-and-cards/42359 | https://bulbapedia.bulbagarden.net/wiki/List_of_How_I_Became_a_Pok%C3%A9mon_Card_volumes,These exact manga inserts carry the Japan-only Natta Wake printed book mark.,https://www.elitefourum.com/t/how-i-became-a-pokemon-card-natta-wake-a-guide-to-the-manga-and-cards/42359 | https://bulbapedia.bulbagarden.net/wiki/List_of_How_I_Became_a_Pok%C3%A9mon_Card_volumes,https://psusriuihkriqvzbzmmc.supabase.co/storage/v1/object/public/card-images/pokemon/bf2751ad-cb70-4a84-afcc-f3b4a5291e62/user_1784520924129.webp,bf2751ad-cb70-4a84-afcc-f3b4a5291e62
base,1999-05-22,How I Became a Pokemon Card,OLD-HIBPC,旧裏,unknown,ポケモンカードになったわけ6,jp,＿のピカチュウ,_____'s Pikachu,artwork,This exact _____'s Pikachu artwork was created for the Japan-only sixth Natta Wake volume.,https://www.elitefourum.com/t/how-i-became-a-pokemon-card-natta-wake-a-guide-to-the-manga-and-cards/42359 | https://bulbapedia.bulbagarden.net/wiki/List_of_How_I_Became_a_Pok%C3%A9mon_Card_volumes,,,https://pub-edb881114340454d8aae56176adec4f2.r2.dev/pokemon/617204.jpg,bd976328-d5ec-4fcf-8704-713a921e0ece
